cod_pedido;cod_cliente;cod_fornecedor;cod_categoria;cod_produto;cod_transportadora;cod_filial;cod_funcionario;cod_vendedor;data_pedido;valor_item;valor_total;qtde_item;desconto_item;vendedor;cargo_vendedor;data_admissao;salario_vendedor;endereco_filial;cidade_filial;pais_filial;transportadora;produto;custo_produto;preco_produto;estoque_produto;categoria_produto;grupo_produto;fornecedor;contato_fornecedor;endereco_fornecedor;cidade_fornecedor;pais_fornecedor;cliente;contato_cliente;endereco_cliente;cidade_cliente;pais_cliente;frete_item
;57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jazz Style Fashion& Art;Dizzi Gillespi;265, boulevard Charonne;Paris;France;
;94;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Modehuset Abel;Dennis Olsen;Smagsløget 45;Århus;Denmark;
10360;7;18;2;38;1;3;5;5;16/01/2021;80,74;807,4;10;0;Ingrid Hendrix;Sales Representative;17/10/1995;5108,3333333333;66 Rue de Qlik;Paris;France;Quik Shipping;Le Baby Dress;62,38;80,5;17;"Women's Clothes";Fashion for Women;Like Paradis;Vanessa Paradis;203, Rue des Francs-Bourgeois;Paris;France;Menàge à Trois;Julie Binoché;24, place Kléber;Strasbourg;France;1,9014492753623
10360;7;12;7;28;1;3;5;5;16/01/2021;42,07;1262,1;30;0;Ingrid Hendrix;Sales Representative;17/10/1995;5108,3333333333;66 Rue de Qlik;Paris;France;Quik Shipping;RDL Suit;36,81;45,6;26;"Children's Clothes";3-15 Years;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Menàge à Trois;Julie Binoché;24, place Kléber;Strasbourg;France;5,704347826087
10360;7;23;3;49;1;3;5;5;16/01/2021;18,29;640,15;35;0;Ingrid Hendrix;Sales Representative;17/10/1995;5108,3333333333;66 Rue de Qlik;Paris;France;Quik Shipping;Finnish Sport Blades;15,43;20;10;Sportswear;Sports clothing;Nordik Koskenkorva;Juha Mieto;Valtakatu 12;Lappeenranta;Finland;Menàge à Trois;Julie Binoché;24, place Kléber;Strasbourg;France;6,6550724637681
10360;7;25;3;54;1;3;5;5;16/01/2021;36,73;1028,44;28;0;Ingrid Hendrix;Sales Representative;17/10/1995;5108,3333333333;66 Rue de Qlik;Paris;France;Quik Shipping;Patamonia Fleece Jacket;30,27;35,45;21;Sportswear;Sports clothing;Mountain International;Celine Dion;2960 Rue St. Laurent;Montr‚al;Canada;Menàge à Trois;Julie Binoché;24, place Kléber;Strasbourg;France;5,3240579710145
10360;7;12;6;29;1;3;5;5;16/01/2021;135,76;4751,6;35;0;Ingrid Hendrix;Sales Representative;17/10/1995;5108,3333333333;66 Rue de Qlik;Paris;France;Quik Shipping;Davenport Shoes;100,74;123,79;0;"Men's Footwear";Men Shoes;Austerlich;Karl Heinz Berger;Bogenallee 51;Frankfurt;Germany;Menàge à Trois;Julie Binoché;24, place Kléber;Strasbourg;France;6,6550724637681
10361;63;18;2;39;2;2;7;7;28/11/2021;60,54;2942,2439951286;54;0,10000000149012;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Terence Top;48,17;60;69;"Women's Clothes";Fashion for Women;Like Paradis;Vanessa Paradis;203, Rue des Francs-Bourgeois;Paris;France;Grunewald;George Essen;Taucherstraße 10;Cunewalde;Germany;27,505321100917
10361;63;28;3;60;2;2;7;7;28/11/2021;4,67;231,16499961726;55;0,10000000149012;Tom Lindwall;Sales Representative;22/11/1995;5083,3333333333;Mellangatan. 33;Lund;Sweden;SafeAndFast;Game Over T-Shirt;4,44;5;19;Sportswear;Sports clothing;FrisersAfrong;Yannik Noah;Bat. B 3, rue des Alpes;Annecy;France;Grunewald;George Essen;Taucherstraße 10;Cunewalde;Germany;28,014678899083
10362;44;11;3;25;2;2;8;8;20/11/2018;15,04;752;50;0;Leif Shine;Sales Coordinator;05/03/2004;5416,6666666667;Mellangatan. 33;Lund;Sweden;SafeAndFast;Basket Vest;10,85;14;76;Sportswear;Sports clothing;Der Bahnhof;Karl Straubaum;Tiergartenstraáe 5;Berlin;Germany;Warp AG;Klaus Deum;Magazinweg 7;Frankfurt a.M.;Germany;21,760638297872
